GlobalId,Name,Pset_PCL.PCL ID,Pset_SmartPlant 3D.Description,Pset_SmartPlant 3D.Location,X,Y,Z
1u7D38JID4e8bs$$kNq0zI,Geometry,adcf9026-aac7-40c0-839e-3e9215f488af,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125829 mm          N 293070 mm           EL+ 972 mm,125.829,293.07,0.972
2NlIIedKXCWv4vFiD2jegV,Insulation Volume,322a6266-ccd6-4b42-9757-4457f24951b9,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125829 mm          N 293070 mm           EL+ 972 mm,125.829,293.07,0.972
0JY6KEDXL4WBtX89msyF_C,Geometry,75050e23-b2a3-4a34-8df6-800fc97c8d98,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125628 mm          N 294052 mm           EL+ 212 mm,125.628,294.052,0.212
3Nky07G6T0rwrwyCYwJnDN,Insulation Volume,d24a11bb-34ea-44a5-b48f-0f8ac927241f,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125628 mm          N 294052 mm           EL+ 212 mm,125.628,294.052,0.212
0zCkpt5f98MP12WxEa4m$n,Geometry,b630ad2d-4bbc-405f-af37-fa205036c186,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125728 mm          N 293070 mm           EL+ 378 mm,125.728,293.07,0.378
2LNJtpd1z5_AJw8ClXOuok,Insulation Volume,93833149-3c6b-4826-b877-b105e1578e8d,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125728 mm          N 293070 mm           EL+ 378 mm,125.728,293.07,0.378
2qg1mmwfD8ZeN1ame7LfhG,Geometry,0a46addc-7a5a-4bd7-b76e-c12603b774be,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125628 mm          N 293561 mm           EL+ 378 mm,125.628,293.561,0.378
2NY63CHc98Wg8aG6Ly7D47,Insulation Volume,25492f63-3b6f-46a1-9475-77d4220f3196,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125628 mm          N 293561 mm           EL+ 378 mm,125.628,293.561,0.378
15KU3nXYrDUuWixtl4j7J_,C066_DbleClampedShoe-1-1-C1291,c17963a1-7859-40d8-bdcf-5f4d5480a5ce,,,,,
3i$SgfVbf1ogdWBffoI7JN,L1X1X1/4 AISC-LRFD-3.1-1-C5331,f9fc6c18-f95a-4ba1-bf5e-e378dbba5212,,,,,
2Kffbpez55Zuk3_oJ9RtCf,L1X1X1/4 AISC-LRFD-3.1-1-C5332,8bf61fb3-3aca-404a-85f3-4c38b49a1870,,,,,
2RKXtn5vv0oROsliBa88r2,C066_DbleClampedShoe-1-1-C1293,669f2968-791c-418e-b5ab-cdb30e756601,,,,,
2ccHrimFjEm9MM7l_B_l$p,L1X1X1/4 AISC-LRFD-3.1-1-C5333,8ffc329a-ac4d-4b9b-8973-831d37b272b8,,,,,
3EGkDMPPT0hxfF0ux7r7wX,L1X1X1/4 AISC-LRFD-3.1-1-C5334,3d230d72-fdda-4801-af1d-a3e3b3e12246,,,,,
1an$W5Wnb7mPkYuO9o0a3A,C064_W12x26-150-1-C111,2db64974-eb91-4d3a-b4b5-9d499dabb092,,,,,
3tP$vaNrP2IwGZI5TqX7Qs,C064_W12x26-150-1-C112,c9b87450-ed5d-4427-861d-eb854591c1d7,,,,,
0xMPxoPn11TA7$SOa9ItSg,C064_W12x26-150-1-C1331,a83c987a-9eea-4803-9974-89109af83337,,,,,
08A9GfPfD1uw752hZxlHOa,C064_W12x26-150-1-C1332,d45d8a6b-d58c-4bf0-934d-9d6962a1ac45,,,,,
2_pv6Ze45EPQ5pOooBy26c,L2-1/2X2-1/2X1/4 AISC-LRFD-3.1-1-C10372,15a4313f-863e-4e05-b347-fba38f9be550,,,,,
0UHMj0cC9F6wnvwDWg_3EH,C066_DbleClampedShoe-1-1-C522,d9c074df-6fad-4267-90c7-e7836315af40,,,,,
0EHizG8Y52gxa9tNQAnfBt,Geometry,f308a59f-d4f7-4f98-896f-63713e80afb0,"90o elbow, 150 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 124981 mm          N 294192 mm          EL+ 1650 mm,124.981,294.192,1.65
